"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,23,ATL,NBA,C,11,0,73,.579,2.8,1.000,.737,.158,.053,.053,.000,.579,.714,.333,.000,.000,.636,.316,5,0,0,
2016-17,24,2TM,NBA,C,2,0,28,.800,2.3,1.000,.400,.600,.000,.000,.000,.800,1.000,.667,,,.750,.200,1,0,0,
2016-17,24,ATL,NBA,C,1,0,4,1.000,0.1,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,1.000,1.000,1,0,0,
2016-17,24,CLE,NBA,C,1,0,24,.750,4.5,1.000,.250,.750,.000,.000,.000,.750,1.000,.667,,,.667,.000,0,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,13,0,101,.625,2.5,1.000,.667,.250,.042,.042,.000,.625,.750,.500,.000,.000,.667,.292,6,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,637,.625,2.5,1.000,.667,.250,.042,.042,.000,.625,.750,.500,.000,.000,.667,.292,38,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,12,0,77,.600,1.5,1.000,.750,.150,.050,.050,.000,.600,.733,.333,.000,.000,.667,.350,6,0,0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,1,0,24,.750,4.5,1.000,.250,.750,.000,.000,.000,.750,1.000,.667,,,.667,.000,0,0,0,
