"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Bones Hyland,,2.4,1.4,0.5,0.0
Shaun Livingston,93.5,2.4,1.3,0.4,0.1
Elston Turner,92.6,2.3,1.4,0.3,0.1
Troy Brown Jr.,88.3,2.4,1.4,0.6,0.5
Kevin O'Shea,87.6,2.1,1.2,0.5,
Ty Jerome,87.3,2.1,1.3,0.5,0.0
Tim Frazier,86.7,2.4,1.4,1.0,-0.1
Kevin Edwards,84.9,2.4,1.6,0.3,-0.2
Chink Crossin,84.5,2.1,1.2,0.5,
Gabe Vincent,84.5,2.5,1.4,0.2,-0.2
Steve Bracey,83.6,2.1,1.5,0.3,
