"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Bones Hyland,,2.4,1.4,0.5,0.0
Kevin O'Shea,87.6,2.1,1.2,0.5,
Chink Crossin,84.5,2.1,1.2,0.5,
Steve Bracey,83.6,2.1,1.5,0.3,
Kenny Rollins,83.0,2.6,1.5,0.1,
Maurice McHartley,82.6,2.4,1.8,0.8,
Courtney Alexander,81.4,2.2,1.1,0.8,
Frank Kudelka,81.3,2.4,1.7,0.4,-0.4
Shaedon Sharpe,81.2,3.0,1.2,0.5,
Terrance Ferguson,80.7,2.8,1.2,0.6,-0.2
Nikola JoviÄ,80.4,2.5,1.9,0.2,
