Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2024-25,19,NYK,NBA,SG,2,0,4,12.6,12.6,1.0,0.0,0.0,12.6,12.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,200,123,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,4,12.6,12.6,1.0,0.0,0.0,12.6,12.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,200,123,
