"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2006-07,21,ORL,NBA,C,4.0,4.0,167.0,0.548,1.9,1.0,0.762,0.19,0.048,0.0,0.0,0.548,0.594,0.5,0.0,,,0.609,,0.262,10.0,,0.0,0.0,
2007-08,22,ORL,NBA,C,10.0,10.0,421.0,0.581,2.9,1.0,0.653,0.266,0.056,0.024,0.0,0.581,0.691,0.394,0.286,0.333,,0.611,,0.282,34.0,,0.0,0.0,
2008-09,23,ORL,NBA,C,23.0,23.0,903.0,0.601,3.1,0.993,0.612,0.362,0.019,0.0,0.007,0.605,0.72,0.402,0.8,,0.0,0.534,,0.254,64.0,0.0,1.0,0.0,
2009-10,24,ORL,NBA,C,14.0,14.0,497.0,0.614,3.0,1.0,0.543,0.436,0.021,0.0,0.0,0.614,0.697,0.492,1.0,,,0.605,,0.264,36.0,,0.0,0.0,
2010-11,25,ORL,NBA,C,6.0,6.0,258.0,0.63,4.8,0.988,0.432,0.519,0.037,0.0,0.012,0.638,0.857,0.476,0.333,,0.0,0.49,,0.198,16.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,27,LAL,NBA,C,4.0,4.0,126.0,0.619,4.1,1.0,0.595,0.31,0.071,0.024,0.0,0.619,0.8,0.385,0.333,0.0,,0.769,,0.286,10.0,,0.0,0.0,
2013-14,28,HOU,NBA,C,6.0,6.0,231.0,0.547,2.8,1.0,0.642,0.358,0.0,0.0,0.0,0.547,0.574,0.5,,,,0.379,,0.226,20.0,,0.0,0.0,
2014-15,29,HOU,NBA,C,17.0,17.0,574.0,0.577,2.7,1.0,0.615,0.374,0.011,0.0,0.0,0.577,0.768,0.279,0.0,,,0.619,,0.302,54.0,,0.0,0.0,
2015-16,30,HOU,NBA,C,5.0,5.0,180.0,0.542,3.5,0.979,0.583,0.375,0.021,0.0,0.021,0.553,0.786,0.222,0.0,,0.0,0.808,,0.375,17.0,0.0,0.0,0.0,
