"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Malcolm Lee,,0.4,0.1,0.0,
David Duke Jr.,79.1,0.3,0.1,0.0,-0.1
Michael Phelps,76.2,0.3,0.1,-0.1,
Elijah Millsap,74.6,0.4,0.1,-0.1,
Axel Toupane,74.0,0.3,0.1,0.1,
Russ Lee,73.9,0.3,0.2,0.0,
R.J. Hunter,73.6,0.3,0.1,0.0,0.0
Bob Duffy,73.4,0.3,0.1,0.1,
Brad Holland,71.1,0.3,0.1,-0.1,
Briante Weber,69.8,0.4,0.3,0.0,
Derrick Dial,67.8,0.4,0.1,0.1,0.1
