"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Ochai Agbaji,,3.1,1.3,0.1,,,
Shaedon Sharpe,85.8,3.0,1.2,0.5,,,
Facundo Campazzo,84.5,3.1,2.0,0.0,,,
Kenny Rollins,83.2,2.6,1.5,0.1,,,
Al McGuire,82.3,3.4,1.9,0.1,,,
Jim Thomas,82.1,3.5,1.6,0.0,-0.1,,
Paul Thompson,82.0,3.7,1.1,0.1,,,
Kendrick Nunn,79.8,2.9,2.0,0.2,,,
Terrance Ferguson,77.3,2.8,1.2,0.6,-0.2,,
Ralph Johnson,77.1,2.9,1.6,0.8,0.0,,
Dan Dickau,75.7,3.5,1.5,0.4,0.4,0.0,0.0
