Season,Team,Lg,Salary
2011-12,Milwaukee Bucks,NBA,"$1,418,160"
2012-13,Orlando Magic,NBA,"$1,524,480"
2013-14,Orlando Magic,NBA,"$1,545,840"
2014-15,Orlando Magic,NBA,"$2,380,594"
2015-16,Detroit Pistons,NBA,"$16,000,000"
2016-17,Detroit Pistons,NBA,"$17,200,000"
2017-18,Los Angeles Clippers,NBA,"$16,000,000"
2018-19,Philadelphia 76ers,NBA,"$14,800,000"
2019-20,Philadelphia 76ers,NBA,"$32,742,000"
2020-21,Philadelphia 76ers,NBA,"$34,358,850"
2021-22,Philadelphia 76ers,NBA,"$35,995,950"
2022-23,Philadelphia 76ers,NBA,"$37,633,050"
2023-24,Philadelphia 76ers,NBA,"$39,270,150"
2024-25,Detroit Pistons,NBA,"$25,365,854"
Career,(may be incomplete),,"$276,234,928"
