"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Sonny Weems,,1.3,-0.3,-0.4,-0.5
DeShawn Stevenson,-23.8,1.5,-0.1,-0.2,-0.4
Willie Jones,-35.2,1.3,-0.1,-0.1,-0.2
Ray Corley,-41.8,1.2,0.0,-0.4,
Bob Warlick,-45.7,1.4,0.2,-0.2,-0.3
Danny Finn,-45.8,1.7,-0.3,-0.4,
Kareem Rush,-45.9,1.5,0.1,-0.2,-0.6
Tony Dumas,-51.4,1.6,0.0,0.0,-0.3
Charles Smith,-51.6,2.0,0.0,-0.3,-0.5
Orlando Johnson,-53.6,1.5,0.1,-0.2,
Mike Evans,-55.6,1.6,0.1,-0.1,-0.2
