Season,Team,Lg,Salary
2011-12,Boston Celtics,NBA,"$473,604"
2012-13,Orlando Magic,NBA,"$762,195"
2013-14,Orlando Magic,NBA,"$884,293"
2014-15,Chicago Bulls,NBA,"$948,163"
2015-16,Chicago Bulls,NBA,"$1,015,421"
2016-17,New Orleans Pelicans,NBA,"$8,081,363"
2017-18,New Orleans Pelicans,NBA,"$8,445,024"
2018-19,New Orleans Pelicans,NBA,"$8,808,685"
2019-20,New Orleans Pelicans,NBA,"$8,664,928"
2020-21,Phoenix Suns,NBA,"$1,620,564"
2021-22,Orlando Magic,NBA,"$2,641,691"
Career,(may be incomplete),,"$42,345,931"
