"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Deni Avdija,,5.6,3.2,2.4,2.3,1.2,,,
LaMelo Ball,89.3,5.8,2.8,2.0,1.8,1.1,,,
Al Skinner,88.5,4.9,3.3,2.1,1.8,1.2,0.0,,
Mitchell Wiggins,87.5,5.4,3.5,3.3,2.0,1.2,-0.1,,
Collin Sexton,84.9,5.5,3.5,2.5,2.5,2.4,-0.1,-0.6,
Malik Sealy,83.9,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2
Ray Lumpp,83.6,6.7,3.3,2.0,1.9,1.7,,,
Charlie Bell,81.7,4.0,3.3,2.2,2.0,1.3,-0.1,-0.2,
Tre Jones,81.6,4.9,3.4,2.9,2.9,0.4,,,
Andre Roberson,81.6,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,
Tyler Johnson,79.9,5.8,4.2,2.3,2.0,0.8,0.7,0.7,0.1
