"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Deni Avdija,,5.6,3.2,2.4,2.3,1.2
Buddy Hield,93.2,5.9,3.0,2.8,2.2,1.3
Bimbo Coles,91.9,5.7,3.2,3.0,2.8,1.1
Brian Shaw,91.7,5.9,3.2,2.2,1.8,1.0
Nate Robinson,90.8,5.9,3.2,3.2,2.2,1.5
Gerald Henderson,90.3,5.3,3.6,2.3,1.7,1.3
Foots Walker,90.1,5.2,3.4,3.0,2.3,1.5
Coby White,90.0,4.7,3.1,2.4,2.4,0.9
LaMelo Ball,89.3,5.8,2.8,2.0,1.8,1.1
Al Skinner,88.7,4.9,3.3,2.1,1.8,1.2
Chucky Atkins,88.5,5.1,2.8,2.7,2.4,1.5
