"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Shannon Brown,,3.4,3.1,1.6,1.2,0.7,0.1,0.0,-0.3,-0.5
Ron Lee,82.4,3.8,2.8,1.6,1.4,0.8,0.3,,,
Quincy Pondexter,82.4,3.2,2.9,1.7,0.9,0.8,0.4,-0.2,,
Larry Wright,79.6,3.5,2.7,1.8,1.4,1.2,0.0,,,
Aaron Nesmith,78.8,4.1,2.9,2.0,1.1,0.4,,,,
Ken Charles,78.7,3.3,3.0,2.3,0.6,0.6,,,,
Shammond Williams,78.5,3.1,2.9,1.2,1.0,0.5,0.2,0.0,,
Rick Adelman,78.2,3.4,2.2,1.6,1.3,0.7,0.7,0.1,,
Gary Neal,77.1,3.5,2.5,1.9,1.4,1.0,0.6,-0.1,,
Devin Vassell,76.8,3.6,3.3,2.2,1.5,1.2,,,,
Pablo Prigioni,76.7,3.4,3.2,2.3,1.5,,,,,
