Season,Team,Lg,Salary
2012-13,Houston Rockets,NBA,"$281,377"
2013-14,Houston Rockets,NBA,"$788,872"
2014-15,Houston Rockets,NBA,"$915,243"
2015-16,Houston Rockets,NBA,"$6,500,000"
2016-17,Houston Rockets,NBA,"$6,000,000"
2017-18,Los Angeles Clippers,NBA,"$5,513,514"
2018-19,Los Angeles Clippers,NBA,"$5,027,028"
2019-20,Los Angeles Clippers,NBA,"$12,345,679"
2020-21,Los Angeles Clippers,NBA,"$13,333,333"
2021-22,Minnesota Timberwolves,NBA,"$14,320,988"
2022-23,Orlando Magic,NBA,"$13,000,000"
2022-23,Chicago Bulls,NBA,"$506,508"
2023-24,Milwaukee Bucks,NBA,"$2,019,706"
Career,(may be incomplete),,"$80,552,248"
