Season,Team,Lg,Salary
2004-05,Chicago Bulls,NBA,"$3,358,320"
2005-06,Chicago Bulls,NBA,"$3,610,200"
2006-07,Chicago Bulls,NBA,"$3,862,080"
2007-08,Chicago Bulls,NBA,"$4,881,669"
2008-09,Chicago Bulls,NBA,"$6,404,750"
2009-10,Detroit Pistons,NBA,"$10,000,000"
2010-11,Detroit Pistons,NBA,"$10,800,000"
2011-12,Detroit Pistons,NBA,"$11,600,000"
2012-13,Charlotte Bobcats,NBA,"$12,400,000"
2013-14,Charlotte Bobcats,NBA,"$13,200,000"
2014-15,Orlando Magic,NBA,"$4,500,000"
Career,(may be incomplete),,"$84,617,019"
