Season,Team,Lg,Salary
2000-01,Los Angeles Clippers,NBA,"$1,538,880"
2001-02,Los Angeles Clippers,NBA,"$1,654,320"
2002-03,Los Angeles Clippers,NBA,"$1,769,760"
2003-04,Los Angeles Clippers,NBA,"$2,256,444"
2004-05,Miami Heat,NBA,"$745,046"
2005-06,Orlando Magic,NBA,"$3,100,000"
2006-07,Orlando Magic,NBA,"$3,348,000"
2007-08,Orlando Magic,NBA,"$3,596,000"
2008-09,New Jersey Nets,NBA,"$3,300,000"
2009-10,New Jersey Nets,NBA,"$3,564,000"
2010-11,Milwaukee Bucks,NBA,"$2,000,000"
2011-12,Boston Celtics,NBA,"$2,246,400"
2012-13,Boston Celtics,NBA,"$1,352,181"
Career,(may be incomplete),,"$30,471,031"
