"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Will Barton,,6.2,4.3,4.2,3.3,3.2,2.2,1.3,1.2,0.6,0.4,-0.5,,
Earl Boykins,91.6,6.0,4.5,4.1,3.5,2.9,2.3,1.0,1.0,0.8,0.3,0.1,0.0,-0.3
Kevin Grevey,89.5,5.8,4.4,3.6,3.4,3.3,2.1,2.0,1.0,0.7,0.1,,,
Pooh Richardson,88.7,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1,,,
Jodie Meeks,87.7,5.1,4.5,4.1,3.1,3.0,2.0,1.1,0.9,0.3,0.1,,,
Hubert Davis,87.4,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,
Ramon Sessions,87.1,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.9,0.7,0.3,,
Rory Sparrow,86.8,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1.0,0.7,0.5,-0.1,-0.4,
Craig Hodges,86.7,6.0,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,,,
Tyreke Evans,86.5,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,,,
Vernon Maxwell,86.3,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0.0,0.0
