"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Richaun Holmes,,6.1,4.9,4.3,3.8,3.2,2.8,2.0,1.5,1.3,0.8
Greg Ostertag,92.8,5.9,5.0,4.2,3.8,3.8,3.4,2.2,2.1,1.4,0.7
Herb Williams,90.5,6.2,4.7,4.6,3.5,2.8,2.2,2.2,1.8,1.7,1.4
Andrew Lang,90.1,5.7,4.9,3.7,3.0,2.9,2.3,1.9,1.7,1.4,0.7
Benoit Benjamin,89.9,5.4,5.1,4.1,4.0,3.0,2.2,2.2,2.0,1.1,0.9
Tony Battie,89.6,6.2,5.8,3.8,3.8,3.3,2.7,2.3,2.3,2.0,0.5
Kent Benson,89.6,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1
Cody Zeller,89.6,6.3,5.6,3.9,3.8,3.6,3.3,2.6,1.9,1.1,0.7
Channing Frye,89.2,6.4,5.3,4.7,3.7,3.5,3.2,3.0,2.1,0.9,0.8
Matt Geiger,88.9,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1
Leroy Ellis,88.8,6.4,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,1.6
