"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2006-07,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2007-08,23,DET,NBA,C,4,0,31,.750,11.7,1.000,.250,.000,.250,.500,.000,.750,1.000,,1.000,.500,,.667,.000,0,,,0,0,
2008-09,24,3TM,NBA,C,18,0,83,.188,14.1,.906,.219,.063,.125,.500,.094,.207,.286,.000,.000,.250,.000,.667,.000,0,.333,.000,0,0,
2008-09,24,DEN,NBA,C,6,0,24,.154,15.5,.923,.154,.000,.231,.538,.077,.167,.000,,.000,.286,.000,1.000,.000,0,1.000,.000,0,0,
2008-09,24,LAC,NBA,C,10,0,51,.250,13.5,.875,.250,.125,.063,.438,.125,.286,.500,.000,.000,.286,.000,.500,.000,0,.000,,0,0,
2008-09,24,NYK,NBA,C,2,0,8,.000,13.4,1.000,.333,.000,.000,.667,.000,.000,.000,,,.000,,,.000,0,,,0,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,22,0,114,.250,13.5,.917,.222,.056,.139,.500,.083,.273,.375,.000,.200,.278,.000,.667,.000,0,.333,.000,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,425,.250,13.5,.917,.222,.056,.139,.500,.083,.273,.375,.000,.200,.278,.000,.667,.000,0,.333,.000,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,10,0,51,.250,13.5,.875,.250,.125,.063,.438,.125,.286,.500,.000,.000,.286,.000,.500,.000,0,.000,,0,0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,6,0,24,.154,15.5,.923,.154,.000,.231,.538,.077,.167,.000,,.000,.286,.000,1.000,.000,0,1.000,.000,0,0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,4,0,31,.750,11.7,1.000,.250,.000,.250,.500,.000,.750,1.000,,1.000,.500,,.667,.000,0,,,0,0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,2,0,8,.000,13.4,1.000,.333,.000,.000,.667,.000,.000,.000,,,.000,,,.000,0,,,0,0,
