Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2006-07,20,SEA,NBA,C,28.0,3.0,169.0,18.0,49.0,0.367,0.0,0.0,18.0,49.0,0.367,0.367,17.0,29.0,0.586,16.0,29.0,45.0,0.0,3.0,12.0,11.0,33.0,53.0,0.0,
2007-08,21,SEA,NBA,C,13.0,0.0,62.0,11.0,24.0,0.458,0.0,0.0,11.0,24.0,0.458,0.458,8.0,17.0,0.471,7.0,9.0,16.0,1.0,0.0,7.0,0.0,9.0,30.0,0.0,
2008-09,22,2TM,NBA,C,6.0,0.0,29.0,6.0,9.0,0.667,0.0,0.0,6.0,9.0,0.667,0.667,8.0,10.0,0.8,5.0,9.0,14.0,0.0,1.0,3.0,4.0,2.0,20.0,0.0,
2008-09,22,OKC,NBA,C,5.0,0.0,23.0,5.0,7.0,0.714,0.0,0.0,5.0,7.0,0.714,0.714,7.0,9.0,0.778,3.0,6.0,9.0,0.0,1.0,2.0,3.0,2.0,17.0,0.0,
2008-09,22,NYK,NBA,C,1.0,0.0,6.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,47.0,3.0,260.0,35.0,82.0,0.427,0.0,0.0,35.0,82.0,0.427,0.427,33.0,56.0,0.589,28.0,47.0,75.0,1.0,4.0,22.0,15.0,44.0,103.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,5.0,454.0,61.0,143.0,0.427,0.0,0.0,61.0,143.0,0.427,0.427,58.0,98.0,0.589,49.0,82.0,131.0,2.0,7.0,38.0,26.0,77.0,180.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA (3 Yrs),SEA (3 Yrs),SEA (3 Yrs),SEA (3 Yrs),,46.0,3.0,254.0,34.0,80.0,0.425,0.0,0.0,34.0,80.0,0.425,0.425,32.0,55.0,0.582,26.0,44.0,70.0,1.0,4.0,21.0,14.0,44.0,100.0,0.0,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,1.0,0.0,6.0,1.0,2.0,0.5,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,
