"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jordan Mickey,,0.3,0.1,0.1,
Chris McCullough,83.0,0.3,0.2,0.1,
Easy Parham,73.7,0.3,0.1,0.0,
Scooter McCray,72.3,0.3,0.1,0.0,
Louis King,71.1,0.3,0.1,0.0,0.0
Alando Tucker,68.4,0.2,0.1,0.0,
Norvel Pelle,68.0,0.3,0.2,0.0,
Juwan Morgan,67.7,0.3,0.3,0.1,
Mfiondu Kabengele,64.6,0.2,0.2,0.1,
Pops Mensah-Bonsu,63.3,0.3,0.0,0.0,0.0
Jarnell Stokes,63.2,0.5,0.1,0.1,
