Season,Team,Lg,Salary
2013-14,Brooklyn Nets,NBA,"$1,298,640"
2014-15,Brooklyn Nets,NBA,"$1,357,080"
2015-16,Portland Trail Blazers,NBA,"$1,415,520"
2016-17,Denver Nuggets,NBA,"$2,328,530"
2017-18,Denver Nuggets,NBA,"$14,041,096"
2018-19,Denver Nuggets,NBA,"$12,917,808"
2019-20,Denver Nuggets,NBA,"$14,041,096"
2020-21,Detroit Pistons,NBA,"$8,000,000"
2021-22,Charlotte Hornets,NBA,"$8,137,500"
2022-23,Los Angeles Clippers,NBA,"$9,080,417"
2023-24,Los Angeles Clippers,NBA,"$5,000,000"
2024-25,Phoenix Suns,NBA,"$2,087,519"
Career,(may be incomplete),,"$79,705,206"
