"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jan VeselÃ½,,1.7,1.6,0.7,,,
Andrew Nicholson,92.3,1.7,1.6,0.6,0.1,-0.1,
Charles Pittman,91.5,1.7,1.5,0.9,0.1,,
Wes Iwundu,89.9,1.9,1.7,0.7,0.1,0.0,
Donnell Harvey,82.2,2.0,1.8,0.7,0.2,0.1,
Keith Lee,81.9,1.9,1.1,0.8,,,
Sam Pellom,81.4,2.2,1.8,0.7,0.0,,
Lamar Stevens,81.0,1.9,1.6,0.8,0.4,0.2,
Dominic McGuire,80.6,1.7,1.5,0.9,0.3,0.0,-0.2
Russ Schoene,80.3,1.8,1.7,1.3,-0.2,,
Cliff Pondexter,80.2,2.2,1.5,1.0,,,
