"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jan VeselÃ½,,1.7,1.6,0.7
Jason Smith,94.8,1.6,1.5,0.7
Zeke Nnaji,94.2,1.8,1.6,0.9
Wes Iwundu,92.3,1.9,1.7,0.7
Marc Iavaroni,91.2,1.5,1.4,0.7
Cedi Osman,90.3,1.6,1.5,0.9
Anthony Randolph,90.0,1.6,1.5,0.5
Jeremiah Robinson-Earl,89.8,1.9,1.5,0.6
Quincy Acy,89.4,1.7,1.5,1.1
James Hardy,89.3,1.8,1.3,0.7
Bob Brannum,88.5,2.0,1.6,0.8
