"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Mouhamed Sene,,0.2,0.2,0.0
Rich King,67.7,0.2,0.1,0.0
Joe Cooper,63.5,0.2,0.1,0.0
Tom Riker,63.5,0.2,0.2,0.0
Jerome Whitehead,58.5,0.2,0.2,0.1
Paul Davis,51.6,0.2,0.2,0.0
Dan O'Sullivan,45.3,0.1,0.1,0.0
Vernon Carey Jr.,44.5,0.2,0.1,0.0
Patrick O'Bryant,44.2,0.3,0.2,0.0
Robert Werdann,41.3,0.2,0.0,-0.1
Micah Potter,39.5,0.3,0.2,0.0
