"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Andray Blatche,,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1
Len Chappell,91.4,4.7,3.7,3.6,3.2,2.1,0.9,0.5,0.1,0.1
Jaxson Hayes,90.7,5.1,3.9,3.7,3.5,2.5,1.5,,,
Kenny Walker,88.9,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,
Terry Catledge,88.8,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,
Maxi Kleber,88.7,4.8,3.5,3.0,2.9,2.8,1.4,1.3,0.3,
Stromile Swift,88.3,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1
Lamond Murray,88.1,4.9,4.1,3.3,2.3,2.1,1.2,0.3,-0.3,-0.3
Michael Kidd-Gilchrist,87.7,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,
Willie Norwood,87.7,3.8,3.5,3.3,3.0,2.6,1.1,0.5,,
Paul Griffin,87.3,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,
