"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Robert Sacre,,1.4,0.8,0.3,-0.1
Gene Tormohlen,87.0,1.4,0.8,0.1,0.0
Earl Williams,83.8,1.3,1.0,0.4,0.0
P̩tur Gu̡mundsson,82.8,1.4,0.6,0.3,-0.1
Granville Waiters,80.6,1.3,0.5,0.2,-0.2
Connie Dierking,80.1,1.4,0.7,0.5,0.1
Josh Harrellson,78.1,1.4,0.7,0.0,
Steve Hayes,74.6,1.2,0.9,0.3,0.3
Rich Johnson,74.1,1.2,0.9,0.1,
Lee Davis,73.8,1.5,0.6,0.2,0.2
Bob Elliott,71.0,1.6,0.8,0.7,
