"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Otto Porter Jr.,,9.4,8.1,5.6,4.9,3.2,2.7,1.3,0.8,0.4,0.3,0.0
Chris Mills,90.7,8.9,7.8,5.4,5.1,4.0,3.0,1.9,1.2,0.3,0.1,
Josh Howard,87.2,8.8,8.0,6.7,6.4,3.5,3.2,1.0,0.5,0.0,-0.2,
Charles Smith,84.0,9.4,7.4,6.6,4.8,4.4,4.0,2.4,1.9,0.0,,
Cedric Ceballos,82.9,9.8,6.2,5.5,5.2,4.0,2.8,2.4,1.3,1.3,1.3,0.4
Kermit Washington,82.5,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1,
Kevon Looney,82.4,8.7,6.8,6.0,4.3,4.0,3.4,2.8,1.4,0.1,0.0,
M.L. Carr,81.7,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,
John Beasley,81.4,8.9,8.1,8.0,6.8,3.3,2.0,0.8,,,,
LaPhonso Ellis,81.1,8.0,7.6,5.2,3.6,2.2,1.9,1.4,1.1,1.0,0.8,0.0
Sidney Wicks,80.9,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,
