"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Myles Turner,,8.0,6.3,5.8,5.4,4.7,4.7,4.2,3.3,3.1,3.1
Mason Plumlee,92.9,7.9,6.1,6.0,5.8,5.1,4.8,4.7,4.7,3.6,3.4
Caldwell Jones,92.3,8.1,7.6,6.2,5.5,5.2,5.0,4.4,3.9,3.1,2.5
Mychal Thompson,91.7,8.2,6.9,6.1,5.4,5.3,5.2,4.6,4.4,3.7,2.6
Rik Smits,90.5,7.8,7.2,6.6,6.1,5.0,4.3,3.4,3.3,2.9,2.7
Elden Campbell,89.2,8.2,7.0,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Andrew Bogut,88.7,7.5,6.5,5.5,5.4,5.2,4.8,4.0,2.6,1.7,0.5
DeMarcus Cousins,87.5,7.9,7.6,6.0,5.7,4.7,4.4,4.2,2.4,1.2,1.1
Jim Chones,87.2,6.4,6.2,6.0,5.9,5.8,4.7,3.5,3.3,2.6,1.4
Samuel Dalembert,86.6,6.9,6.9,6.2,5.2,4.1,4.0,3.9,3.6,2.9,0.3
Tree Rollins,86.6,9.2,7.3,6.4,6.4,5.5,5.0,4.9,3.8,3.4,2.6
