"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
T.J. Ford,,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2
Al Wood,88.7,4.4,4.2,2.5,2.3,1.0,0.9,,
Coby White,87.9,4.7,4.5,3.1,2.4,2.4,0.9,,
Eric Money,85.5,4.2,3.6,3.3,2.7,0.6,0.3,,
Isaac Okoro,85.4,4.2,4.2,4.2,2.5,0.9,,,
TomÃ¡Å¡ SatoranskÃ½,85.0,5.0,4.7,3.5,3.1,1.0,0.6,,
Fred Jones,84.9,4.8,4.0,2.6,2.2,1.6,1.2,0.0,
Ron Brewer,84.8,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1
Daniel Gibson,84.8,4.1,3.8,2.6,2.4,2.0,0.5,0.5,
Malik Monk,84.3,3.6,3.5,3.2,2.8,1.0,0.7,0.3,0.0
John Roche,84.3,4.8,4.2,4.1,2.5,2.3,0.8,0.6,0.5
