"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Robert Sacre,,1.4,0.8,0.3,-0.1,,
Gene Tormohlen,84.1,1.4,0.8,0.1,0.0,0.0,0.0
Earl Williams,83.8,1.3,1.0,0.4,0.0,,
P̩tur Gu̡mundsson,82.8,1.4,0.6,0.3,-0.1,,
Josh Harrellson,78.1,1.4,0.7,0.0,,,
Granville Waiters,74.7,1.3,0.5,0.2,0.0,-0.2,
Rich Johnson,74.1,1.2,0.9,0.1,,,
Bob Elliott,71.0,1.6,0.8,0.7,,,
Steve Hayes,69.3,1.2,0.9,0.3,0.3,0.2,
David Harrison,69.0,1.5,1.4,0.4,-0.2,,
Chris Anstey,68.6,1.9,0.6,0.3,,,
