"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Kevon Looney,,8.7,6.8,6.0,4.3,4.0,3.4,2.8,1.4,0.1,0.0,,,,
Carl Landry,90.6,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,,,,,
Charles Smith,89.3,9.4,7.4,6.6,4.8,4.4,4.0,2.4,1.9,0.0,,,,,
Chris Mills,89.2,8.9,7.8,5.4,5.1,4.0,3.0,1.9,1.2,0.3,0.1,,,,
Wil Jones,88.5,7.4,6.9,6.0,5.4,4.0,3.7,2.3,0.9,0.6,,,,,
Kenneth Faried,88.0,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,,,,,,
Jamal Mashburn,86.4,9.0,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2,,,
Sidney Wicks,85.9,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,,,,
Drew Gooden,85.2,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1
Cedric Ceballos,84.8,9.8,6.2,5.5,5.2,4.0,2.8,2.4,1.3,1.3,1.3,0.4,,,
Lauri Markkanen,84.7,8.2,6.2,5.0,3.3,3.0,2.7,2.6,2.2,,,,,,
