"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Donte DiVincenzo,,6.6,4.3,4.2,3.9,3.6,0.7,0.6,,,
Terance Mann,88.7,5.5,4.3,4.2,3.7,3.0,0.8,,,,
Monte Morris,87.4,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,
Ted McClain,86.0,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,
Immanuel Quickley,85.8,6.7,4.7,4.2,3.2,2.5,,,,,
Ja Morant,85.5,6.7,6.0,3.8,3.5,3.2,0.8,,,,
Joe Harris,85.1,5.5,5.2,4.3,4.0,2.6,0.8,0.5,0.2,0.0,0.0
Dick Garmaker,85.0,7.5,4.7,4.6,4.4,3.1,1.3,,,,
Pooh Richardson,84.2,5.9,4.4,4.1,4.0,3.8,2.1,1.4,1.0,0.2,-0.1
Grayson Allen,82.7,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,
Duncan Robinson,82.4,5.3,3.9,3.7,3.6,2.7,0.5,0.2,,,
