"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Eric Maynor,,1.9,1.5,0.2,0.1,-0.4
David Wingate,88.0,1.9,1.4,0.2,0.1,-0.5
Donald Sloan,81.2,2.0,2.0,0.3,0.1,-0.3
Steve Bracey,79.3,2.1,1.5,0.3,,
Quinn Cook,78.4,1.8,1.6,0.3,0.2,0.2
Bryce Drew,78.3,1.7,1.3,0.0,-0.1,-0.4
Anthony Carter,77.7,1.7,1.4,0.2,-0.2,-0.3
Richie Regan,73.4,1.6,1.5,0.4,,
Lloyd Daniels,73.2,1.8,1.1,0.2,0.1,0.0
Caleb Houstan,73.0,1.8,1.5,0.7,,
Andrew Harrison,72.9,1.7,1.6,-0.1,,
