"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Mehmet Okur,,9.3,8.8,7.4,7.0,6.7,5.9,5.6,3.8,0.2,0.0
Zydrunas Ilgauskas,92.6,9.4,8.7,8.1,7.8,6.6,6.1,5.0,2.5,0.7,0.5
Swen Nater,92.5,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,-0.1
Bam Adebayo,91.9,8.8,8.5,7.5,7.4,7.2,7.2,6.8,4.2,,
Clifford Ray,91.8,8.7,8.2,8.1,7.0,6.9,6.7,5.7,3.8,1.9,-0.3
Joakim Noah,90.1,11.2,9.0,7.3,6.7,6.4,6.2,5.6,3.8,2.2,1.1
Brook Lopez,89.8,9.0,7.9,7.0,6.3,6.2,5.8,4.9,3.8,2.3,0.3
Tom Owens,88.5,10.4,8.3,8.0,6.9,6.9,6.0,4.8,2.9,2.5,0.9
Jim Eakins,87.7,9.0,8.5,7.6,7.4,7.4,6.6,3.6,3.6,2.9,0.9
Vlade Divac,87.5,9.5,8.3,7.4,7.3,6.1,5.9,5.6,5.2,5.0,1.8
Nate Thurmond,87.5,9.9,9.0,7.2,7.2,6.5,6.1,5.2,4.3,3.7,3.5
