"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('Unnamed: 20_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 25_level_0', 'Awards')"
2010-11,24,WAS,NBA,C,16,0,80,.800,6.7,1.000,.400,.200,.400,.000,.000,.800,1.000,1.000,.500,.750,.400,2,0,0,
2011-12,25,WAS,NBA,C,3,0,3,.000,1.7,1.000,1.000,.000,.000,.000,.000,.000,.000,,,,.000,0,0,0,
2012-13,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2013-14,27,SAC,NBA,C,14,0,74,.333,8.0,1.000,.000,1.000,.000,.000,.000,.333,,.333,,.667,.222,2,0,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,33,0,157,.467,5.5,1.000,.200,.667,.133,.000,.000,.467,.667,.400,.500,.714,.267,4,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,390,.467,5.5,1.000,.200,.667,.133,.000,.000,.467,.667,.400,.500,.714,.267,10,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,19,0,83,.667,4.2,1.000,.500,.167,.333,.000,.000,.667,.667,1.000,.500,.750,.333,2,0,0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,14,0,74,.333,8.0,1.000,.000,1.000,.000,.000,.000,.333,,.333,,.667,.222,2,0,0,
