"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Bruno Fernando,,1.5,0.9,0.8,0.4,0.3,-0.1
Chris Crawford,82.6,1.3,0.9,0.6,0.6,0.2,0.1
Chris Johnson,81.3,1.4,1.1,0.8,0.2,,
Hilton Armstrong,79.8,1.5,1.2,0.5,0.5,0.3,-0.1
Gary Gregor,79.5,1.4,1.1,0.8,0.5,0.5,-0.4
Timoth̩ Luwawu-Cabarrot,78.3,1.7,0.9,0.8,0.8,0.3,0.2
Julian Wright,78.1,1.7,0.8,0.8,0.6,,
Stanley Johnson,78.0,1.8,1.0,0.6,0.5,0.4,0.0
Byron Houston,77.9,1.8,0.9,0.7,0.5,,
Cartier Martin,77.6,1.3,0.8,0.7,0.7,0.4,0.1
Jarell Martin,77.2,1.3,0.8,0.6,0.5,,
