"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Rodrigue Beaubois,,2.2,2.0,0.4,0.2,,,
Ãlex Abrines,87.3,2.2,2.1,0.6,,,,
Nikola JoviÄ,85.5,2.5,1.9,0.2,,,,
Donald Sloan,84.1,2.0,2.0,0.3,0.1,-0.3,,
Steve Bracey,81.6,2.1,1.5,0.3,,,,
Maurice McHartley,81.6,2.4,1.8,0.8,,,,
Travis Diener,80.6,2.5,1.9,0.7,0.6,0.0,,
Chris Quinn,79.3,2.6,2.1,0.6,0.1,0.1,-0.2,
James Robinson,78.1,2.3,1.9,1.2,0.2,0.2,0.0,-0.1
Peyton Watson,78.1,2.5,2.5,0.3,,,,
Bones Hyland,77.2,2.4,1.4,0.5,0.0,,,
