Season,Team,Lg,Salary
2009-10,Chicago Bulls,NBA,"$1,039,800"
2010-11,Chicago Bulls,NBA,"$1,117,680"
2011-12,Chicago Bulls,NBA,"$1,195,680"
2012-13,Chicago Bulls,NBA,"$2,155,811"
2013-14,Chicago Bulls,NBA,"$7,550,000"
2014-15,Chicago Bulls,NBA,"$8,000,000"
2015-16,Chicago Bulls,NBA,"$8,500,000"
2016-17,Oklahoma City Thunder,NBA,"$8,950,000"
2017-18,Minnesota Timberwolves,NBA,"$14,000,000"
2018-19,Minnesota Timberwolves,NBA,"$14,000,000"
2019-20,New York Knicks,NBA,"$9,800,000"
2020-21,New York Knicks,NBA,"$2,442,968"
2021-22,New York Knicks,NBA,"$4,910,000"
2022-23,Washington Wizards,NBA,"$1,836,090"
2023-24,Washington Wizards,NBA,"$2,019,706"
2023-24,New York Knicks,NBA,"$477,630"
2023-24,Detroit Pistons,NBA,"$348,225"
2023-24,New York Knicks,NBA,"$183,704"
2023-24,New York Knicks,NBA,"$183,704"
2023-24,Detroit Pistons,NBA,"$116,075"
2024-25,Charlotte Hornets,NBA,"$2,087,519"
Career,(may be incomplete),,"$90,914,592"
