"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')","('Win Shares (Best to Worst)', '21')"
Nikola JokiÄ,,17.0,16.4,15.6,15.2,14.9,11.8,10.7,9.8,9.7,6.7,,,,,,,,,,,
Walt Bellamy,80.1,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,5.4,4.9,0.1,,,,,,,
Bill Russell,80.1,17.3,16.9,15.5,13.8,13.5,13.0,12.9,12.2,11.7,11.3,10.9,8.2,6.2,,,,,,,,
Ed Macauley,79.1,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8,6.3,-0.2,,,,,,,,,,,
Rudy Gobert,78.6,14.4,14.3,11.7,11.6,11.3,10.7,10.1,9.3,8.1,7.8,6.4,0.4,,,,,,,,,
Shaquille O'Neal,77.0,18.6,16.9,14.9,14.0,13.2,13.2,11.0,10.4,10.2,9.9,9.0,8.0,7.8,6.9,6.2,3.1,2.8,2.8,2.7,,
David Robinson,74.7,20.0,18.3,17.5,17.0,15.1,13.9,13.8,13.2,12.7,12.1,10.1,8.4,6.0,0.7,,,,,,,
Zelmo Beaty,73.2,16.0,15.1,11.8,10.8,10.3,9.0,8.4,7.7,5.2,4.8,4.5,2.3,,,,,,,,,
Moses Malone,72.9,15.4,15.1,14.1,13.7,11.9,11.9,10.7,10.2,9.5,9.4,9.2,8.9,8.7,7.8,7.7,6.1,5.6,1.9,1.0,0.3,0.1
Neil Johnston,72.3,18.3,15.4,15.3,13.9,13.7,11.3,3.4,0.7,,,,,,,,,,,,,
Artis Gilmore,72.2,19.8,18.5,16.2,15.1,12.7,12.7,12.3,12.2,12.1,11.5,11.0,10.5,7.1,6.7,5.6,4.9,0.9,,,,
