Season,Team,Lg,Salary
2004-05,Golden State Warriors,NBA,"$1,727,760"
2005-06,Golden State Warriors,NBA,"$1,857,360"
2006-07,Golden State Warriors,NBA,"$1,986,960"
2007-08,Golden State Warriors,NBA,"$2,636,696"
2008-09,Golden State Warriors,NBA,"$9,000,000"
2009-10,Golden State Warriors,NBA,"$9,000,000"
2010-11,Golden State Warriors,NBA,"$9,000,000"
2011-12,Golden State Warriors,NBA,"$9,000,000"
2012-13,Golden State Warriors,NBA,"$9,000,000"
2013-14,Utah Jazz,NBA,"$9,000,000"
Career,(may be incomplete),,"$62,208,776"
