"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jon Brockman,,1.9,1.7,0.1,,
Simone Fontecchio,87.2,2.1,1.6,-0.1,,
Rudy Macklin,86.7,1.8,1.4,0.1,,
Joe Holup,86.1,2.1,1.8,0.3,,
Anthony Roberts,85.7,1.9,1.7,0.1,-0.2,-0.2
Wes Iwundu,83.7,1.9,1.7,0.7,0.1,0.0
Kenny Battle,82.1,1.9,1.3,0.3,0.1,
Jim Palmer,80.1,2.4,1.9,0.2,,
Joel Freeland,80.0,1.6,1.4,0.2,,
Sam Pellom,77.6,2.2,1.8,0.7,0.0,
Jan VeselÃ½,77.6,1.7,1.6,0.7,,
