"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2018-19,22,DEN,NBA,SG,14.0,0.0,281.0,0.387,0.37,0.404,0.489,0.71,0.53,0.333,0.505,84.0,71.0,114.0,93.0,93.0,95.0,129.0,141.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,25,MIN,NBA,SG,6.0,0.0,119.0,0.432,0.579,0.32,0.523,0.833,0.547,0.136,0.568,94.0,109.0,91.0,98.0,108.0,97.0,55.0,142.0,
2022-23,26,LAL,NBA,SG,11.0,0.0,91.0,0.294,0.375,0.269,0.397,1.0,0.45,0.176,0.765,62.0,68.0,75.0,73.0,128.0,77.0,66.0,197.0,
2023-24,27,MIL,NBA,SG,6.0,2.0,131.0,0.512,0.625,0.44,0.646,,0.646,0.0,0.61,108.0,115.0,120.0,118.0,,111.0,0.0,154.0,
2024-25,28,DET,NBA,SG,6.0,0.0,163.0,0.373,0.5,0.339,0.507,1.0,0.535,0.107,0.787,80.0,92.0,94.0,93.0,128.0,93.0,44.0,187.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,43.0,2.0,785.0,0.397,0.467,0.357,0.51,0.804,0.54,0.178,0.634,85.0,87.0,100.0,95.0,104.0,95.0,70.0,162.0,
,,,,,,,,,,,,,,,,,,,,,,,,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,14.0,0.0,281.0,0.387,0.37,0.404,0.489,0.71,0.53,0.333,0.505,84.0,71.0,114.0,93.0,93.0,95.0,129.0,141.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,11.0,0.0,91.0,0.294,0.375,0.269,0.397,1.0,0.45,0.176,0.765,62.0,68.0,75.0,73.0,128.0,77.0,66.0,197.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,6.0,0.0,163.0,0.373,0.5,0.339,0.507,1.0,0.535,0.107,0.787,80.0,92.0,94.0,93.0,128.0,93.0,44.0,187.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,6.0,2.0,131.0,0.512,0.625,0.44,0.646,,0.646,0.0,0.61,108.0,115.0,120.0,118.0,,111.0,0.0,154.0,
MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,6.0,0.0,119.0,0.432,0.579,0.32,0.523,0.833,0.547,0.136,0.568,94.0,109.0,91.0,98.0,108.0,97.0,55.0,142.0,
