"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Darren Collison,,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9,-0.1,,,,
CJ McCollum,91.9,7.6,6.6,6.0,5.9,5.6,4.7,4.3,4.1,3.6,1.8,1.5,0.2,,,
Dick McGuire,90.7,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4.0,4.0,2.1,1.3,,,,
Brad Davis,90.3,7.4,7.3,6.2,6.2,5.4,4.2,4.0,3.9,2.9,2.7,1.6,0.6,0.6,0.3,0.1
Eric Bledsoe,89.1,8.2,7.0,5.6,5.4,5.3,4.1,3.7,2.5,2.3,1.3,0.3,0.2,,,
Alvin Robertson,89.0,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,,,
Norm Van Lier,89.0,7.7,7.7,6.0,5.6,5.5,5.2,3.8,3.2,2.1,1.1,,,,,
Danny Green,88.7,7.8,5.9,5.9,4.6,4.5,4.2,4.2,3.4,3.4,2.9,1.9,0.2,0.2,0.1,0.0
Vinnie Johnson,88.7,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,1.2,0.2,,
John Lucas,88.7,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.9,1.3,1.0,0.4,
Antonio Daniels,88.3,6.8,6.6,5.9,5.8,5.3,4.5,4.3,3.6,2.3,1.8,1.5,0.0,-1.3,,
