"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Carl Landry,,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4
Ed Pinckney,95.1,7.5,6.2,6.1,4.7,4.0,2.9,2.7,2.3,0.3
Amir Johnson,91.2,7.3,6.3,5.6,4.5,4.0,3.0,2.7,0.5,0.2
Jamal Mashburn,90.3,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.2
Lauri Markkanen,89.5,8.2,6.2,5.0,3.3,3.0,2.7,2.6,2.2,
Metta World Peace,89.0,8.0,7.2,6.7,4.7,3.7,2.7,2.3,1.9,1.3
Matt Harpring,88.9,8.8,6.1,5.5,4.7,4.7,2.8,2.6,2.6,0.2
Donyell Marshall,88.1,8.5,6.0,5.0,4.2,3.8,3.0,1.3,1.3,0.3
Jerami Grant,88.0,7.3,5.4,4.4,4.1,3.2,2.9,2.3,2.1,0.5
Rodney Rogers,87.8,7.4,5.4,4.7,3.9,3.3,2.9,2.3,2.0,1.2
Jae Crowder,87.7,7.3,6.7,4.4,3.9,3.8,3.3,2.6,2.3,1.5
