"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2007-08,24,HOU,NBA,PF,6.0,0.0,106.0,0.423,4.4,1.0,0.654,0.154,0.038,0.154,0.0,0.423,0.471,0.75,0.0,0.0,,0.545,0.115,3.0,,,0.0,0.0,
2008-09,25,HOU,NBA,PF,13.0,0.0,240.0,0.557,7.1,0.971,0.557,0.143,0.057,0.214,0.029,0.574,0.641,0.7,0.5,0.333,0.0,0.718,0.171,9.0,0.5,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,NOH,NBA,PF,6.0,6.0,213.0,0.456,7.6,1.0,0.412,0.25,0.118,0.221,0.0,0.456,0.643,0.294,0.5,0.267,,0.839,0.118,8.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,29,GSW,NBA,PF,12.0,3.0,246.0,0.52,9.6,1.0,0.31,0.22,0.19,0.28,0.0,0.52,0.613,0.636,0.368,0.429,,0.692,0.04,4.0,,,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,37.0,9.0,805.0,0.504,7.2,0.992,0.436,0.201,0.121,0.235,0.008,0.508,0.609,0.547,0.406,0.339,0.0,0.722,0.102,24.0,0.5,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,20.0,1784.0,0.504,7.2,0.992,0.436,0.201,0.121,0.235,0.008,0.508,0.609,0.547,0.406,0.339,0.0,0.722,0.102,53.0,0.5,0.0,2.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,19.0,0.0,346.0,0.521,5.8,0.979,0.583,0.146,0.052,0.198,0.021,0.532,0.589,0.714,0.4,0.263,0.0,0.68,0.156,12.0,0.5,0.0,1.0,0.0,
GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),GSW (1 Yr),,12.0,3.0,246.0,0.52,9.6,1.0,0.31,0.22,0.19,0.28,0.0,0.52,0.613,0.636,0.368,0.429,,0.692,0.04,4.0,,,0.0,0.0,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,6.0,6.0,213.0,0.456,7.6,1.0,0.412,0.25,0.118,0.221,0.0,0.456,0.643,0.294,0.5,0.267,,0.839,0.118,8.0,,,0.0,0.0,
