"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Carl Landry,,7.7,6.2,5.9,4.1,3.7,2.9,2.8,2.1,0.4,,,
Kevon Looney,90.6,8.7,6.8,6.0,4.3,4.0,3.4,2.8,1.4,0.1,0.0,,
Lauri Markkanen,89.5,8.2,6.2,5.0,3.3,3.0,2.7,2.6,2.2,,,,
Kenny Carr,88.7,6.7,5.8,5.1,3.8,3.1,2.9,2.9,2.1,1.1,0.0,,
Ruben Patterson,87.1,6.7,5.6,5.5,5.4,3.4,3.2,3.0,2.1,0.2,0.1,,
Wil Jones,86.3,7.4,6.9,6.0,5.4,4.0,3.7,2.3,0.9,0.6,,,
OG Anunoby,85.9,6.5,5.7,4.7,3.7,3.1,3.0,2.6,2.0,,,,
Ed Pinckney,85.7,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3
Kenneth Faried,85.6,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,,,,
M.L. Carr,85.5,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,,
Joe Caldwell,85.4,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,
