Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2005-06,22,LAC,NBA,SG,6,0,5,1,1,1.0,0,0,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,2,0,
1 Yr,1 Yr,1 Yr,1 Yr,,6,0,5,1,1,1.0,0,0,1,1,1.0,1.0,0,0,0,0,0,0,0,0,0,0,2,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,68,14,14,1.0,0,0,14,14,1.0,1.0,0,0,0,0,0,0,0,0,0,0,27,0,
