"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jared Butler,,1.4,0.6,0.4,0.1,
Jeff Dowtin Jr.,90.7,1.3,0.6,0.4,0.0,
Vonteego Cummings,86.5,1.3,0.6,0.2,,
Terence Stansbury,84.3,1.5,0.6,0.3,,
Trent Forrest,83.8,1.3,0.7,0.2,-0.1,
Frank Jackson,82.8,1.2,0.7,0.4,0.2,0.0
Ray McCallum,80.8,1.4,0.4,0.3,,
Romeo Langford,79.7,1.3,0.5,0.2,0.0,
Brooks Thompson,77.5,1.1,0.6,0.2,0.1,
Treveon Graham,77.4,1.8,0.5,0.4,0.2,
Steve Alford,77.2,1.4,0.9,0.6,0.3,
