Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2021-22,21,UTA,NBA,SG,1,0,5,0.0,21.1,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0,118,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,5,0.0,21.1,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,10.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0,118,
