"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Grayson Allen,,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,,,
Immanuel Quickley,89.6,6.7,4.7,4.2,3.2,2.5,,,,,,,
Ted McClain,89.5,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,,,
Ron Williams,88.7,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0.0,,,,
Paul Walther,88.5,6.6,5.2,3.1,2.2,2.0,1.3,,,,,,
Vincent Askew,88.3,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,,,
Gene Littles,86.7,7.7,4.8,4.2,3.6,1.6,1.4,,,,,,
Mike James,86.3,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Ja Morant,86.1,6.7,6.0,3.8,3.5,3.2,0.8,,,,,,
Monte Morris,86.0,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,,,
Miles Bridges,85.9,7.2,4.2,3.2,2.9,2.2,1.6,,,,,,
