"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Evan Mobley,,9.0,8.5,5.5,5.2
Sean Elliott,94.8,8.8,8.4,6.1,4.6
Rodney McCray,94.3,9.4,8.5,6.3,4.6
Kawhi Leonard,92.4,8.6,7.7,6.2,5.5
Wally Szczerbiak,92.3,8.7,7.4,6.2,5.2
Chris Mills,91.9,8.9,7.8,5.4,4.0
Derrick Coleman,91.5,9.9,9.5,5.8,5.6
Carmelo Anthony,91.3,9.4,7.3,6.1,4.9
James Worthy,91.3,9.5,7.5,6.5,5.1
Udonis Haslem,90.7,9.2,7.0,5.1,4.8
Jack Twyman,90.6,9.3,8.8,7.3,5.9
