"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Jerian Grant,,3.3,2.5,1.7,0.8,0.0
Roger Phegley,92.7,3.7,2.6,1.6,0.8,0.0
Rick Adelman,91.6,3.4,2.2,1.6,0.7,0.1
Quincy Pondexter,89.3,3.2,2.9,1.7,0.9,0.4
Khalid Reeves,88.5,3.5,2.5,1.2,1.1,0.1
Gary Neal,88.4,3.5,2.5,1.9,1.0,0.6
Raja Bell,88.1,3.7,2.2,1.7,1.1,-0.1
Steve Kerr,86.9,3.2,2.4,1.3,0.6,0.4
Moses Moody,86.7,3.5,2.4,1.3,1.3,
Brandon Rush,86.7,3.5,2.6,2.5,0.9,0.0
Mike Butler,86.2,3.1,2.3,1.6,0.1,
