"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Shaedon Sharpe,,3.0,1.2,0.5,,,,,,
Terrance Ferguson,90.5,2.8,1.2,0.6,-0.2,,,,,
A.J. Green,88.1,2.8,1.1,0.8,,,,,,
Ochai Agbaji,85.8,3.1,1.3,0.1,,,,,,
Ralph Johnson,84.5,2.9,1.6,0.8,0.0,,,,,
Justin Jackson,83.5,2.9,1.2,1.0,0.2,0.1,0.0,0.0,,
Jaylen Nowell,83.3,2.8,1.2,0.7,0.2,0.1,-0.2,,,
Harold Ellis,82.0,2.8,0.9,0.9,,,,,,
Bones Hyland,81.2,2.4,1.4,0.5,0.0,,,,,
Pete Myers,78.6,3.0,1.3,0.6,0.5,0.3,0.1,0.0,0.0,-0.1
Kevin O'Shea,78.6,2.1,1.2,0.5,,,,,,
