"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Shaedon Sharpe,,3.0,1.2,0.5
Terrance Ferguson,93.7,2.8,1.2,0.6
Herm Gilliam,93.4,2.9,1.4,0.4
Carlos Delfino,93.2,2.9,1.0,0.5
Tyrone Corbin,90.7,3.0,1.2,0.1
Steve Kerr,90.5,3.2,1.3,0.4
Terence Davis,90.4,3.1,0.8,0.5
Pep Saul,89.7,2.9,1.5,0.6
Robert Smith,89.5,2.9,1.4,0.8
Bob Wilkerson,89.3,2.9,0.9,0.7
Kenrich Williams,89.1,2.8,1.2,0.9
