"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Tony Bradley,,3.3,2.7,1.3,0.4,0.2,0.1,0.0
Tyrone Nesby,90.6,3.1,2.9,1.3,0.3,,,
Renaldo Balkman,89.2,2.8,2.6,1.3,0.3,0.1,0.0,
Cal Christensen,88.6,3.2,2.9,1.7,0.4,0.0,,
Patrick Williams,84.1,3.5,2.5,1.2,0.9,0.4,,
Ime Udoka,83.9,3.9,2.8,1.3,0.8,0.0,0.0,0.0
Bruce Seals,83.7,2.9,2.4,1.6,0.6,0.3,,
Haywood Highsmith,83.6,3.3,3.1,0.9,0.1,0.0,,
Tom Tolbert,82.3,2.7,2.5,1.3,0.1,0.0,0.0,0.0
Greg Kelser,82.1,3.9,2.5,1.4,0.8,0.1,0.0,
Mirza TeletoviÄ,81.5,3.8,2.7,0.9,0.6,0.5,0.3,
