Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2008-09,24,DAL,NBA,C,9.0,0.0,9.3,0.9,1.6,0.571,0.0,0.0,0.9,1.6,0.571,0.571,0.7,1.1,0.6,1.0,1.7,2.7,0.1,0.1,0.4,0.4,2.4,2.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,27,BOS,NBA,C,17.0,0.0,10.0,0.6,1.5,0.423,0.0,0.0,0.6,1.5,0.423,0.423,0.2,0.5,0.444,0.9,0.6,1.6,0.5,0.0,0.5,0.4,1.7,1.5,
2012-13,28,LAC,NBA,C,5.0,0.0,7.4,1.0,1.8,0.556,0.0,0.0,1.0,1.8,0.556,0.556,0.2,0.4,0.5,0.6,0.4,1.0,0.4,0.0,0.4,0.4,2.0,2.2,
2013-14,29,LAC,NBA,PF,5.0,0.0,1.8,0.2,0.8,0.25,0.0,0.0,0.2,0.8,0.25,0.25,0.2,0.2,1.0,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.6,0.6,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,36.0,0.0,8.3,0.7,1.5,0.472,0.0,0.0,0.7,1.5,0.472,0.472,0.3,0.6,0.545,0.8,0.8,1.6,0.3,0.0,0.4,0.4,1.8,1.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,10.0,0.0,4.6,0.6,1.3,0.462,0.0,0.0,0.6,1.3,0.462,0.462,0.2,0.3,0.667,0.4,0.4,0.8,0.2,0.0,0.2,0.3,1.3,1.4,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,17.0,0.0,10.0,0.6,1.5,0.423,0.0,0.0,0.6,1.5,0.423,0.423,0.2,0.5,0.444,0.9,0.6,1.6,0.5,0.0,0.5,0.4,1.7,1.5,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,9.0,0.0,9.3,0.9,1.6,0.571,0.0,0.0,0.9,1.6,0.571,0.571,0.7,1.1,0.6,1.0,1.7,2.7,0.1,0.1,0.4,0.4,2.4,2.4,
