Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2020-21,22,WAS,NBA,PG,1,0,5,9.4,28.2,0.333,0.0,9.4,0.0,9.4,18.8,0.5,0.333,0.0,0.0,9.4,9.4,18.8,9.4,0.0,0.0,18.8,9.4,18.8,60,123,
1 Yr,1 Yr,1 Yr,1 Yr,,1,0,5,9.4,28.2,0.333,0.0,9.4,0.0,9.4,18.8,0.5,0.333,0.0,0.0,9.4,9.4,18.8,9.4,0.0,0.0,18.8,9.4,18.8,60,123,
