Season,Team,Lg,Salary
2014-15,Dallas Mavericks,NBA,"$507,336"
2015-16,Dallas Mavericks,NBA,"$845,059"
2016-17,Dallas Mavericks,NBA,"$8,375,000"
2017-18,Dallas Mavericks,NBA,"$9,003,125"
2018-19,Dallas Mavericks,NBA,"$9,631,250"
2019-20,Dallas Mavericks,NBA,"$10,259,375"
2020-21,Dallas Mavericks,NBA,"$11,080,125"
2021-22,Dallas Mavericks,NBA,"$11,080,125"
2022-23,Dallas Mavericks,NBA,"$11,080,125"
2023-24,Dallas Mavericks,NBA,"$4,000,000"
2024-25,Dallas Mavericks,NBA,"$4,000,000"
Career,(may be incomplete),,"$79,861,520"
