"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Usman Garuba,,1.8,0.5,0.0,
Red Morrison,91.6,1.7,0.5,0.0,
Ish Wainright,87.9,1.7,0.6,0.0,
Jim Holstein,84.4,1.8,0.6,0.2,-0.1
Bill Bunting,84.0,2.0,0.7,0.0,
Ron Bonham,81.7,1.8,0.7,0.2,
Kai Jones,80.1,2.1,0.7,0.0,
Joey Dorsey,79.5,1.9,0.8,0.1,0.0
Chris Singleton,77.9,1.5,0.5,0.2,
Rodney White,77.4,1.8,0.5,-0.2,-0.4
Derrick Alston,77.2,1.7,1.0,-0.1,
