"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2003-04,23,MEM,NBA,PF,4.0,4.0,134.0,0.571,0.571,,0.571,0.9,0.64,0.408,0.0,130.0,124.0,,121.0,120.0,124.0,135.0,0.0,
2004-05,24,MEM,NBA,PF,4.0,4.0,133.0,0.488,0.481,1.0,0.494,0.5,0.498,0.15,0.013,109.0,102.0,281.0,102.0,66.0,94.0,46.0,6.0,
2005-06,25,MEM,NBA,PF,4.0,4.0,158.0,0.433,0.439,0.0,0.433,0.767,0.505,0.448,0.015,95.0,92.0,0.0,88.0,103.0,94.0,134.0,7.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,27,LAL,NBA,C,21.0,21.0,836.0,0.53,0.53,,0.53,0.692,0.568,0.391,0.0,116.0,109.0,,107.0,92.0,105.0,128.0,0.0,
2008-09,28,LAL,NBA,C,23.0,23.0,931.0,0.58,0.58,,0.58,0.714,0.622,0.507,0.0,126.0,119.0,,116.0,93.0,114.0,166.0,0.0,
2009-10,29,LAL,NBA,C,23.0,23.0,913.0,0.539,0.545,0.0,0.539,0.759,0.599,0.516,0.01,117.0,111.0,0.0,108.0,100.0,110.0,172.0,4.0,
2010-11,30,LAL,NBA,C,10.0,10.0,358.0,0.42,0.418,0.5,0.424,0.8,0.497,0.402,0.018,92.0,86.0,139.0,85.0,105.0,92.0,134.0,8.0,
2011-12,31,LAL,NBA,PF,12.0,12.0,444.0,0.434,0.435,0.4,0.441,0.828,0.482,0.203,0.035,97.0,91.0,115.0,90.0,110.0,91.0,74.0,15.0,
2012-13,32,LAL,NBA,PF,4.0,4.0,146.0,0.481,0.481,,0.481,0.545,0.493,0.212,0.0,106.0,100.0,,97.0,72.0,92.0,78.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,34,CHI,NBA,PF,10.0,10.0,317.0,0.487,0.505,0.0,0.487,0.762,0.539,0.365,0.035,108.0,104.0,0.0,98.0,102.0,101.0,134.0,13.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,36,SAS,NBA,C,16.0,7.0,365.0,0.439,0.458,0.333,0.465,0.708,0.494,0.211,0.158,96.0,91.0,93.0,91.0,92.0,89.0,78.0,50.0,
2017-18,37,SAS,NBA,C,5.0,0.0,90.0,0.5,0.529,0.333,0.525,0.9,0.615,0.5,0.15,109.0,104.0,92.0,101.0,117.0,111.0,199.0,45.0,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,136.0,122.0,4825.0,0.508,0.512,0.297,0.511,0.741,0.559,0.391,0.023,112.0,106.0,83.0,103.0,97.0,104.0,131.0,8.0,
,,,,,,,,,,,,,,,,,,,,,,,,
LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),LAL (6 Yrs),,93.0,93.0,3628.0,0.519,0.521,0.3,0.521,0.735,0.57,0.422,0.009,114.0,107.0,85.0,105.0,97.0,105.0,140.0,4.0,
MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),MEM (3 Yrs),,12.0,12.0,425.0,0.49,0.49,0.5,0.492,0.758,0.537,0.316,0.01,110.0,104.0,141.0,102.0,101.0,102.0,98.0,5.0,
SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),,21.0,7.0,455.0,0.448,0.469,0.333,0.474,0.765,0.514,0.254,0.157,98.0,93.0,93.0,92.0,99.0,93.0,96.0,49.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,10.0,10.0,317.0,0.487,0.505,0.0,0.487,0.762,0.539,0.365,0.035,108.0,104.0,0.0,98.0,102.0,101.0,134.0,13.0,
