0
Career 7749 (84th)
Career NBA 7749 (80th)
Career Playoffs 788 (100th)
Career NBA Playoffs 788 (93rd)
Career (Reg+Playoffs) 8537 (80th)
Career NBA (Reg+Playoffs) 8537 (75th)
