"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Sandro Mamukelashvili,,2.2,1.1,1.0,0.9,,,,
Predrag Drobnjak,83.3,2.4,1.6,1.0,0.7,,,,
Jelani McCoy,77.0,1.5,1.4,1.1,1.0,0.1,0.0,0.0,0.0
Moses Brown,76.8,2.6,1.2,1.1,0.4,0.2,0.0,,
Luther Rackley,76.0,1.9,1.8,1.3,0.8,0.1,,,
Rickey Brown,75.5,1.8,0.9,0.9,0.7,0.4,,,
Charlie Tyra,74.8,2.3,1.5,1.1,0.2,-0.2,,,
Dick Cunningham,74.4,1.2,1.0,1.0,1.0,0.0,0.0,0.0,
Bob Christian,72.7,2.4,1.9,0.9,0.5,0.0,,,
James Wiseman,72.5,2.1,1.4,0.7,0.0,,,,
Jahlil Okafor,71.6,2.2,1.3,1.2,1.2,0.6,0.6,0.0,
