"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Sandro Mamukelashvili,,2.2,1.1,1.0,0.9
Jermaine O'Neal,92.5,2.1,1.2,0.8,0.8
Jahlil Okafor,89.4,2.2,1.2,1.2,0.6
Predrag Drobnjak,83.3,2.4,1.6,1.0,0.7
Jake Tsakalidis,82.3,2.8,1.3,1.2,0.9
Rickey Brown,81.7,1.8,0.9,0.9,0.7
Steven Hunter,80.5,2.6,1.0,0.9,0.6
Charles Shackleford,79.0,2.7,1.5,0.9,0.8
Walt Davis,78.7,1.6,0.9,0.9,0.8
John Lambert,77.9,1.5,1.0,0.9,0.7
Harvey Catchings,77.8,2.3,1.7,1.4,1.2
